name,date,error,count,cycles,hz
"curry","Sat Jul 13 2013 16:02:09 GMT-0700 (PDT)",,295,5,5730.173703749452
"curry-d","Sat Jul 13 2013 16:02:15 GMT-0700 (PDT)",,653,5,12475.209029394784
"curry","Sat Jul 13 2013 16:02:20 GMT-0700 (PDT)",,454,5,8673.096628563704
"curry-d","Sat Jul 13 2013 16:02:26 GMT-0700 (PDT)",,532,5,10037.751432265391
"curry","Sat Jul 13 2013 17:44:24 GMT-0700 (PDT)",,308,6,5889.745082749853
"curry-d","Sat Jul 13 2013 17:44:30 GMT-0700 (PDT)",,648,5,12046.055665306
"curry","Sat Jul 13 2013 17:44:35 GMT-0700 (PDT)",,471,4,9027.368507397534
"curry-d","Sat Jul 13 2013 17:44:40 GMT-0700 (PDT)",,548,4,10357.39171279304
"curry","Sat Jul 13 2013 17:53:11 GMT-0700 (PDT)",,291,5,5468.186543736331
"curry-d","Sat Jul 13 2013 17:53:16 GMT-0700 (PDT)",,639,4,11674.308362930886
"curry","Sat Jul 13 2013 17:53:21 GMT-0700 (PDT)",,443,4,8209.075052086297
"curry-d","Sat Jul 13 2013 17:53:27 GMT-0700 (PDT)",,497,3,9518.849127768577
"curry","Sat Jul 13 2013 17:55:58 GMT-0700 (PDT)",,293,5,5618.055469354017
"curry-d","Sat Jul 13 2013 17:56:04 GMT-0700 (PDT)",,632,3,11802.90495564859
"curry","Sat Jul 13 2013 17:56:09 GMT-0700 (PDT)",,464,5,8646.524236721702
"curry-d","Sat Jul 13 2013 17:56:15 GMT-0700 (PDT)",,539,4,10053.690908440249
"curry","Sat Jul 13 2013 17:57:21 GMT-0700 (PDT)",,300,4,5716.368547606042
"curry-d","Sat Jul 13 2013 17:57:26 GMT-0700 (PDT)",,636,5,11721.000130565993
"curry","Sat Jul 13 2013 17:57:32 GMT-0700 (PDT)",,452,6,8609.68086211791
"curry-d","Sat Jul 13 2013 17:57:37 GMT-0700 (PDT)",,531,2,10054.40035038554
"curry","Sat Jul 13 2013 17:59:09 GMT-0700 (PDT)",,296,7,5498.895304424348
"curry-d","Sat Jul 13 2013 17:59:14 GMT-0700 (PDT)",,629,4,11837.502276193376
"curry","Sat Jul 13 2013 17:59:20 GMT-0700 (PDT)",,436,4,8261.697607160046
"curry-d","Sat Jul 13 2013 17:59:25 GMT-0700 (PDT)",,526,5,9927.062317375578
"curry","Sat Jul 13 2013 18:06:20 GMT-0700 (PDT)",,290,7,5573.332438260651
"curry-d","Sat Jul 13 2013 18:06:25 GMT-0700 (PDT)",,624,4,11692.397130265708
"curry","Sat Jul 13 2013 18:06:31 GMT-0700 (PDT)",,464,4,8468.06816926367
"curry-d","Sat Jul 13 2013 18:06:36 GMT-0700 (PDT)",,562,5,10242.759791966557
"curry","Sat Jul 13 2013 18:18:33 GMT-0700 (PDT)",,297,7,5630.84061510981
"curry-d","Sat Jul 13 2013 18:18:39 GMT-0700 (PDT)",,613,5,11225.23731827631
"curry","Sat Jul 13 2013 18:18:44 GMT-0700 (PDT)",,452,4,8655.36620584813
